Fach,Frage,Richtige Antwort,Richtige Antwort 2,Richtige Antwort 3,Richtige Antwort 4,Falsche Antwort 1,Falsche Antwort 2,Falsche Antwort 3
Finanzrecht,Der Grundsatz der Kompetenz-Kompetenz bedeutet …,"Unter Kompetenz-Kompetenz versteht man im Wesentlichen die Befugnis einer Instanz, über die Zuständigkeiten selbst verbindlich zu entscheiden.","Die Bundesgesetzgebung regelt die Verteilung der Besteuerungsrechte und Abgabenerträge zwischen dem Bund, den Ländern und Gemeinden. Dem Bund kommt somit die oberste Zuständigkeit (Kompetenz-Kompetenz) auf dem Gebiet des Finanzausgleiches durch das Recht auf Regelung der Mittelbeschaffung für die nachgeordneten Gebietskörperschaften zu.",,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Das Legalitätsprinzip besagt … ,Öffentliche Abgaben dürfen nur aufgrund von Gesetzen erhoben werden.,"Das entspricht dem Art. 18 B-VG, wonach die gesamte staatliche Verwaltung nur aufgrund von Gesetzen erfolgen darf (Legalitätsprinzip).",,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Das Sachlichkeitsgebot bzw. der Grundsatz der Finanzausgleichsgerechtigkeit besagt …,Die Verteilung der Besteuerungsrechte und der Abgabenerträge auf die Gebietskörperschaften müssen in Übereinstimmung mit der Verteilung der Lasten der öffentlichen Verwaltung erfolgen.,Die Grenzen der Leistungsfähigkeit der beteiligten Gebietskörperschaften dürfen nicht überschritten werden.,"Finanzstarke Regionen sollen nicht übermäßig belastet werden, während finanzschwache Regionen ausreichend unterstützt werden sollen.",,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist eine Abgabe?,"Die Abgabe ist ein Oberbegriff für Beiträge, Gebühren und Steuern.","Eine Geldleistung, die durch einen hoheitlichen Verwaltungsakt zur Erzielung von Einkünften für ein öffentl. Gemeinwesen auferlegt und von einer Behörde vorgeschrieben wird.",,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was versteht man Abgaben- bzw. Ertragshoheit?,"Unter Abgabenhoheit versteht man das Rechteiner Gebietskörperschaft, Abgaben inhaltlich zu regeln. Sie liegt in Österreich primär beim Bund und den Ländern.",Unter Ertragshoheit versteht man das Recht über den Ertrag dieser Abgaben autonom verfügen zu können.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Welche Abgabentypen gibt es nach der Finanzverfassung?,"(1) Ausschließliche Bundesabgaben deren Ertrag ganz dem Bund zufließen. (2) Zwischen Bund und Ländern geteilte Abgaben an deren Ertrag Bund und Länder (Gemeinden) beteiligt sind. (3) Ausschließliche Landesabgaben, deren Ertrag ganz den Ländern zufließt. (4) Zwischen Ländern und Gemeinden geteilte Abgaben, an deren Ertrag Länder und Gemeinden beteiligt sind. (5) Ausschließliche Gemeindeabgaben, deren Ertrag ganz den Gemeinden zufließt.","Zu den geteilten Abgaben zählen: (1) Gemeinschaftliche Bundesabgaben, die vom Bund erhoben werden und die Länder Ertragsanteile bekommen und (2) Zuschlagsabgaben (=Stammabgabe des Bundes, Zuschläge an Länder)",,,Die Steuererklärungspflicht von Unternehmen.,Die Ausgestaltung des Bundespräsidentenamts.,Die Organisation des Bildungswesens.
Finanzrecht,Wie hoch ist in etwa das Abgabenaufkommen an den einzelnen Abgaben?,"(1) Ausschließliche Bundesabgaben: 2022 rd. 8,9 Mrd. (2) Geteilte Abgaben zwischen Bund und Ländern (Gemeinden): 2023 rd. 104 Mrd. (3) Landesabganeben: 2022 rd. 1,4 Mrd (4) Gemeindeabgaben: 2021 rd. 6,4 Mrd.",Der größte Teil des gesamten Abgabenaufkommens mit 104 Mrd Eurofällt  in Österreich unter die geteilten Abgaben.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,"Zählen folgende Abgaben zu den Bundes-, Landes- oder Gemeindeabgaben? (.) Umsatzsteuer, Einkommenssteuer inkl. Lohnsteuer, Körperschaftsteuer, Veranl. Eink.st., Mineralölsteuer, KEST I, motorbezogene Versicherungssteuer, Tabaksteuer, Grunderwerbssteuer, Versicherungssteuer, KEST II, Kapitalverkehrssteuern, Eletrizitätsabgabe, Erdgasabgabe, Bier-, Wein-, Alkoholsteuer",Die Abgaben zählen zu den gemeinschaftlichen Bundesabgaben.,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,"Landes- und Rundfunkabgaben, Kurabgabe, Tourismusinteressentenbeitrag, Landesverwaltungsabgaben, Feuerschutzabgabe, Jagd- und Fischereikarten zälen zu welchem Abgabentyp?",Die Abgaben zählen zu den gemeinschaftlichen Landesabgaben.,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,"Nächtigungsabgabe, Grundsteuer, Kommunalsteuer, Abgabe Haltung Tiere, Vergnügungssteuer, Zweitwohnsitzabgabe, Wohnbauförderungsbeitrag zählen zu welchem Abgabentyp?",Die Abgaben zählen zu den gemeinschaftlichen Gemeindeabgaben.,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Wer darf nach der Finanzverfassung in welchem Ausmaß eigene Abgaben erfinden?,"Bund, Länder (mit Einschränkungen), Gemeinden nur mit gesonderter Ermächtigung durch Bund/Länder","Länder dürfen eigene Abgaben erfinden, sind aber mehrfach stark eingeschränkt.","Gemeinden können nicht direkt auf Bsis der Finanzverfassung eigene Abgaben erfinden. Sie brauchen Bundes- und Landesgesetze, damit sie Abgaben einheben dürfen.",,Die Steuererklärungspflicht von Unternehmen.,Die Ausgestaltung des Bundespräsidentenamts.,Die Organisation des Bildungswesens.
Finanzrecht,Was ist das Einspruchsrecht des Bundesregierung im Abgabenbereich?,Bundesregierung hat bei Abgabengesetzen der Länder die Möglichkeit diese durch Einspruch zu Fall zu bringen.,"Besteht Gefährdung von Bundesinteressen, kann die Bundesregierung gegen einen Gesetzesbeschluss innerhalb von 8 Wochen nach dem Tag, an dem der Gesetzesbeschluss beim Bundeskanzleramt eigelangt ist, begründet verhindert werden.",,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was sind Finanzzuweisungen bzw. Transfers?,Finanzzuweisungen sind neben den Abgaben die wichtigste Einnahmequelle für Länder und Gemeinden.,Im F-VG wird bei den Finanzzuweisungen (= Transfers oder Transferzahlungen) zwischen Schlüsselzuweisungen und Bedarfszuweisungen unterschieden.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was versteht man unter Schlüsselzuweisungen?,Die Zuweisungen werden nach einem festen Schlüssel (z.B. Volkszahl) gewährt.,Damit sollen finanzschwächere Gemeinden unterstützt werden.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was versteht man unter Bedarfszuweisungen?,Die Bedarfszuweisungen werden als Instrument der Feinverteilung zum Ausgleich eines Speziellen Bedarfs gewährt. ,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Es gibt Finanzzuweisungen …,des Bundes an die Länder und Gemeinden,der Länder and die Gemeinden.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Das derzeitig getende Finanzausgleichsgesetz …,… ist ein einfaches Bundesgesetz …,… stammt vom 1. Jänner 2014 und gilt bis 31. Dezember 2028,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Wer führt die Verhandlungen zum Finanzausgleich bzw. wer sind die Finanzausgleichspartner?,"Die Finanzausgleichspartner sind Bund, Länder und Gemeinden.","Die Verhandlungen werden geführt vom Finanzministerium (für den Bund), der Landesfinanzreferentenkonferenz (für die Länder) und dem Städte- und Gemeindebund (für Städte und Gemeinden).",,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist der vertikale Finanzausgleich?,"Der vertikale Finanzausgleich regelt die Beziehungen finanzausgleichsrechtlicher Art von Gebietskörperschaften verschiedener Ebenen, also zwischen Bund und Ländern bzw. Gemeinden oder zwischen Ländern und Gemeinden.",Die vertikale Verteilung wird auch Oberverteilung genannt.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist der horizontale Finanzausgleich?,"Der horizontale Finanzausgleich regelt die finanzausgleichsrechtlichen Beziehungen zwischen Gebietskörperschaften der gleichen Ebene, also zwischen Gemeinden untereinander oder zwischen Ländern untereinander.",Die horizontale Verteilung wird auch Unterverteilung genannt.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was sind Ertragsanteile?,"Die jeweiligen Anteile von Bund, Ländern und Gemeinden an den Steuermitteln werden als „Ertragsanteile“ bezeichnet.",Dabei geht es jährlich um mehr als € 100 Mrd. die etwa nach dem Schlüssel 2/3 Bund und 1/3 Länder und Gemeinden verteilt werden.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was sind Vorwegabzüge?,"Unter Vorwegabzügen versteht man zweckbestimmte Abzüge von den gemeinschaftlichen Bundesausgaben vor dem Aufteilungsverfahren, bzw. vor der horizontalen Aufteilung.","Ein wichtiger Vorwegabzug ist der EU-Beitrag, aber auch Vorwegabzüge für Familienlastenausgleichsfond, Katastrophenfonds, Pflegefonds.",Der Abgabenertrag nach Abzug der Vorwegabzüge wird als „Nettoaufkommen“ bezeichnet.,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Welche Aussage ist richtig?,"Oberverteilung = vertikale Verteilung! Sie regelt die Verteilung der Erträge der gemeinschaftlichen Bundesabgaben auf die 3 Gebietskörperschaftsebenen (Bund, Länder, Gemeinden) und stellt das Kernstück des Finanzausgleichs dar! Das Nettoaufkommen (= Erträge der gemeinschaftlichen Bundesabgaben minus Vorwegabzüge) wird aufgeteilt:(.) 2/3 Bund (67,934%)(.) 1/3 Land (20,217%) und Gemeinden (11,849%)","Unterverteilung = horizontale Verteilung! Die Länder- und Gemeindeertragsanteile werden auf Land und Gemeinden bundesländerweise verteilt, wobei teilweise fixe Prozentsätze, teilweise die Verteilungskriterien „Volkszahl“, „abgestufter Bevölkerungsschlüssel“ sowie das länderweise Aufkommen der betreffenden oder einer anderen Steuer angewendet werden. Verteilungskriterien: \n (.) Nach abgestuften Bevölkerungsschlüssel (gewichtige Einwohnerzahl) (.) Nach Fixschlüssel (historisch bedingte fixe Aufteilungsverhältnisse nach Bundesländern) (.) Nach Volkszahl (Aufteilung nach dem länderweisen Anteil an der Einwohnerzahl) (.) Örtliches Aufkommen (länderweises Aufkommen an Grunderwerbssteuer, Bodenwertabgabe und Spielbankabgabe)","Da wichtigste Aufteilungskriterium bei der Unterverteilung der Länderanteile ist die Volkszahl, bei den Ertragsanteilen der Gemeinden ist es der ""abgestufte Bevölkerungsschlüssel"".",,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist der Abgestufte Bevölkerungsschlüssel? ,"Eine Gewichtung der Einwohnerzahl durch Multiplikation mit einem Vervielfacher. Der Vervielfacher steigt mit der Einwohnerklasse, wodurch größere Gemeinden pro Kopf mehr erhalten als kleinere.",,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist das wichtigste Verteilungskriterium bei den Ertragsanteilen der Länder?,Die Volkszahl,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist das wichtigste Verteilungskriterium bei den Ertragsanteilen der Gemeinden?,Der abgestufte Bevölkerungsschlüssel,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was sind Transfers im Finanzausgleich?,Darunter versteht man im Wesentlichen Finanzströme zwischen den Gebietskörperschaften abseits der Verteilung der gemeinschaftlichen Bundesabgaben.,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Zu diesen Transfers gehören wesentlich die Finanzzuweisungen und Zuschüsse. \n Welche Transfers gibt es ...,Transfers des Bundes: Zuteilung von Finanzzuweisungen und Zuschüssen des Bundes auf Länder und Gemeinden.,Transfers Länder und Gemeinden: Umlagen von den Gemeinden an die Länder sowie Förderungen von den Ländern an die Gemeinden.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist diel Landesumlage und muss diese zwingend eingehoben werden?,"Ein Beispiel für eine Transferleistung der Gemeinden an die Länder ist die sogenannte Landesumlage, welche fakultativ (d.h. die Länder können selbst entscheiden, ob sie eine derartige Umlage einheben) von den Ländern eingehoben werden kann.",,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist das Paktum zum Finanzausgleich?,Das Paktum enthält die wesentlichen Ergebnisse der Finanzausgleichsverhandlungen und bilden somit die Grundlage für das Finanzausgleichsgesetz.,Es soll den Bund vor Verfassungsklagen schützen und Länder und Gemeinden vor einseitigen Maßnahmen des Bundes. Paktum ist ein Gesamtkompromiss der Verhandlungen der FAG-Partner.,"Kann theoretisch vom FAG auch ohne Verhandlungen beschlossen werden, dies kann jedoch vom VfGH bekämpft werden.",,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist die sogenannte Schutzklausel?,"Die Schutzklausel soll finanzielle Ungleichheiten zwischen den Bundesländern ausgleichen und sicherstellen, dass keinn Land durch außergewöhnliche Belastungen benachteiligt wird. ",Grund: Das Abgabewesen ist vom Konsultationsmechanismus ausgenommen.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist der Konsultationsmechanismus?,"Der Konsultationsmechanismus ist ein Verfahren, das zur besseren Koordination der Finanzausgleichspartner bei der Vorbereitung von Gesetzen und Verordnungen dient. Er soll sicherstellen, dass finanzielle Auswirkungen von Gesetzen und Verordnungen auf die verschiedenen Ebenen der Gebietskörperschaften berücksichtigt und Lastenverschiebungen vermieden werden.",Eine Art 15a B-VG Vereinbarung der Gebietskörperschaften.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Geltungsbereich des Konsultationsmechanismus?,Die Vereinbarung bertifft die Begutachtung von Gesetzes- und Verordnungsentwürfen des Bundes.,Die Vereinbarung betrifft die Begutachtung von Gesetzes- und Verordnungsentwürfen der Länder.,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Wer sind die Vertragspartner des Konsultationsmechanismus?,"Die Vertragspartner der Vereinbarung sind die Finanzausgleichspartner, also Bund, Länder und Gemeinden.",,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Welche Rechte und Pflichten ergeben sich für Bund und Länder aufgrund des Konsultationsmechanismus?,"Es ergeben sich Informations-, Kostenberechnungs-, Verhandlungs- und Ausgabenersatzverpflichtung bei rechtssetzenden Maßnahmen, die finanzielle Auswirkungen auf andere Gebietskörperschaften haben.","Ersatzpflicht gegenüber einem Vertragspartner besteht nur dann, wenn bei Verletzung der Übermittlungs- und Verhandlungspflichten tatsächlich Kosten entstehen.",,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Welche Maßnahmen sind vom Konsultationsmechanismus ausgenommen?,"Rechtssetzungsmaßnahmen, insoweit sie zwingende EU-Vorschriften umsetzen",Wenn Gebietskörperschaften als Träger von Privatrechten wie jeder andere Rechtsträger von einer Regelung betroffen sind.,Regelungen auf dem Gebiet des Abgabenrechts und des bundesgesetzlichen Finanzausgleichs sowie der daraus abgeleiteten landesgesetzlichen Regelungen.,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Welche EU-Fiskalregeln gibt es unter Anderem?,EU-Fiskalregel hinsichtlich des zulässigen Defizits.,EU-Fiskalregel hinsichtlich des zulässigen Verschuldung.,EU-Fiskalregeln und Corona-Covid19.,Es gibt theoretisch Sanktionen bei Nichteinhalten.,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Wie hoch dürfen das jährliche Defizit und die Gesamtverschuldung nach EU-Fiskalregeln sein?,Das gesamtstaatliche Finanzierungsdefizit eines Mitgliedsstaates dafr 3% des BIP nicht überschreiten.,Der (Gesamt-) Schuldenstand eines Mitgliedsstaats darf 60% des BIO nicht überschreiten.,Im Maastrich-Verttrag wurden die Grenzwerte von 3% des BIP für das staatliche Haushaltsdefizit und 60% für den Schuldenstand festgelegt.,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Gibt es Sanktionen für die Nichteinhaltung von EU-Fiskalregeln?,Theoretisch gibt es strikte Anpassungsvorschriften und am Ende drohen hohe Strafzahlungen bei Nichteinhaltung. Allerdings wurde bislang noch niemand sanktioniert.,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,"Was ist die sogenannte ""general escape clause""?","Es ahndelt sich dabei um eine Ausweichklausel im Europäischen Stabilitäts- und Wachstumspackt, mit der die Regeln des EU-Stabilitätspats seit dem Jahr 2020 bis zum Jahr 2023 ausgesetz wurden.","Sie erlaubt bei einem ""schweren wirtschaftlichen Winbruch"" die Eu-Haushaltsaufsicht über einen Mitgliedsstaat auszusetzen.",Die EU-Mitgliedstaaten mussten somit die Schulden- und Defizitregeln offiziell für die Jahre 2020 bis 2023 nicht einhalten und konnten sich stärker verschulden um ihrer Wirtschaft unter die Arme zu greifen.,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was wurde 2024 bei den EU-Fiskalregeln reformiert?,Die EU-Fiskalregekn geten seit 1.1.2024 wieder und wurden reformiert.,Die neuen Regeln des Stabilitäts- und Wachstumspaket (SWP) beinhalten weiterhinn die Obergrenzen für die Gesamtverschuldung (60% des BIP) sowie das jährliche Defizit (3% des BIP).,"Darüber hinaus wurde ein Nettoausgabenpfadfestgelegt, strengere Anforderungen an Schuldenabbaupöäne für hoch verschuldete Länder eingeführt, eine stärkere Überwachung und Durchsetzung der Fiskalregeln eingeführt und Klimainvestitionen berücksichtigt.",,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist bzw. regelt der österreichische Stabilitätspakt?,"Der Fiskalpakt verlangt von den EU-Mitgliedstaaten die Umsetzung der Fiskalregelnin nationales Recht, was in Österreich ninnerstaatlich im Österreichischen Stabilitätspakt (ÖStP) umgesetzt wurde.","Der ÖStP 2012 ist unbefristet in Form einer Art 15a B-VG Vereinbarung zwischen Bund, Ländern und Gemeinden eingeführt worden und bildet den aktuell geltenden Stabilitätspakt.",Aufgrund der Reform der EU-Fiskalreglen im Jahr 2024 ist auch eine Reformierung des ÖStP 2012 notwendig. Diese ist derzeit un Umsetzung. ,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test1,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test2,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test3,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test4,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test5,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test6,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test7,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test8,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test9,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test10,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test11,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test12,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test13,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Haushaltsrecht,Test14,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test15,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test16,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test17,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test18,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test19,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test20,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test21,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test22,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test23,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test24,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test25,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Verfassungsrecht,Test26,Antwort1,Antwort2,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
